,n_negsamps,window_size,embedding_dim,kdims,isoscore,rs,train_data_size,corpus,model
0,1.0,5,50,1.3534510651289744,0.007213287043448458,1,1MB,text8-gensim,sgns
1,1.0,5,50,1.353619187363013,0.007216718109449246,2,1MB,text8-gensim,sgns
2,2.0,5,50,1.8323249897838978,0.016986224281304033,1,1MB,text8-gensim,sgns
3,2.0,5,50,1.8390196278279487,0.017122849547509155,2,1MB,text8-gensim,sgns
4,3.0,5,50,1.6649899424009171,0.013571223314304432,1,1MB,text8-gensim,sgns
5,3.0,5,50,1.6646930096915584,0.01356516346309303,2,1MB,text8-gensim,sgns
6,4.0,5,50,1.668028235317137,0.01363322929218647,1,1MB,text8-gensim,sgns
7,4.0,5,50,1.6776894382758447,0.013830396699507037,2,1MB,text8-gensim,sgns
8,5.0,5,50,1.664273587753553,0.013556603831705167,1,1MB,text8-gensim,sgns
9,5.0,5,50,1.6800219386192325,0.013877998747331274,2,1MB,text8-gensim,sgns
10,6.0,5,50,1.700269190332894,0.014291207965977428,1,1MB,text8-gensim,sgns
11,6.0,5,50,1.690773370375435,0.014097415721947656,2,1MB,text8-gensim,sgns
12,7.0,5,50,1.7434414223163586,0.015172273924823645,1,1MB,text8-gensim,sgns
13,7.0,5,50,1.744767713876606,0.015199341099522569,2,1MB,text8-gensim,sgns
14,8.0,5,50,1.7773703777114387,0.015864701585947726,1,1MB,text8-gensim,sgns
15,8.0,5,50,1.7675453940050454,0.01566419171438868,2,1MB,text8-gensim,sgns
16,9.0,5,50,1.7984146203290974,0.01629417592508362,1,1MB,text8-gensim,sgns
17,9.0,5,50,1.7832514383784401,0.015984723232213068,2,1MB,text8-gensim,sgns
18,10.0,5,50,1.8323121597813097,0.01698596244451652,1,1MB,text8-gensim,sgns
19,10.0,5,50,1.8217961738509711,0.016771350486754513,2,1MB,text8-gensim,sgns
20,11.0,5,50,1.8774917867134184,0.01790799564721262,1,1MB,text8-gensim,sgns
21,11.0,5,50,1.8597471833711807,0.01754586088512614,2,1MB,text8-gensim,sgns
22,12.0,5,50,1.9051409516125861,0.018472264318624206,1,1MB,text8-gensim,sgns
23,12.0,5,50,1.8791148279146974,0.017941118937034643,2,1MB,text8-gensim,sgns
24,13.0,5,50,1.932260440480934,0.0190257232751211,1,1MB,text8-gensim,sgns
25,13.0,5,50,1.9080202297410715,0.018531025096756564,2,1MB,text8-gensim,sgns
26,14.0,5,50,1.9630066989254416,0.01965319793725391,1,1MB,text8-gensim,sgns
27,14.0,5,50,1.9204236581325784,0.018784156288419968,2,1MB,text8-gensim,sgns
28,15.0,5,50,1.9663367120330921,0.01972115738843045,1,1MB,text8-gensim,sgns
29,15.0,5,50,1.960572609950016,0.01960352265204114,2,1MB,text8-gensim,sgns
30,1.0,5,50,7.36282349029917,0.12985354061835042,1,10MB,text8-gensim,sgns
31,1.0,5,50,7.34635162940124,0.12951738019186204,2,10MB,text8-gensim,sgns
32,2.0,5,50,9.340265645395096,0.17020950296724685,1,10MB,text8-gensim,sgns
33,2.0,5,50,9.301535157449592,0.16941908484591006,2,10MB,text8-gensim,sgns
34,3.0,5,50,10.328773473572095,0.19038313211371624,1,10MB,text8-gensim,sgns
35,3.0,5,50,10.236380741877483,0.18849756616076493,2,10MB,text8-gensim,sgns
36,4.0,5,50,11.175704504765541,0.20766743887276612,1,10MB,text8-gensim,sgns
37,4.0,5,50,11.106135830253525,0.20624767000517397,2,10MB,text8-gensim,sgns
38,5.0,5,50,11.850613239817292,0.22144108652688352,1,10MB,text8-gensim,sgns
39,5.0,5,50,11.755346201777936,0.2194968612607742,2,10MB,text8-gensim,sgns
40,6.0,5,50,12.463874876504903,0.23395663013275314,1,10MB,text8-gensim,sgns
41,6.0,5,50,12.418460729861486,0.23302981081349972,2,10MB,text8-gensim,sgns
42,7.0,5,50,12.868231682404366,0.24220880984498708,1,10MB,text8-gensim,sgns
43,7.0,5,50,12.864488952054279,0.24213242759294445,2,10MB,text8-gensim,sgns
44,8.0,5,50,13.207578028028228,0.24913424546996385,1,10MB,text8-gensim,sgns
45,8.0,5,50,13.151816161090629,0.24799624818552302,2,10MB,text8-gensim,sgns
46,9.0,5,50,13.548472207544483,0.2560912695417241,1,10MB,text8-gensim,sgns
47,9.0,5,50,13.500527321890184,0.25511280248755475,2,10MB,text8-gensim,sgns
48,10.0,5,50,13.74562609258034,0.2601148182159253,1,10MB,text8-gensim,sgns
49,10.0,5,50,13.77589872794635,0.2607326271009459,2,10MB,text8-gensim,sgns
50,11.0,5,50,13.948479720682702,0.264254688177198,1,10MB,text8-gensim,sgns
51,11.0,5,50,13.930617851184518,0.26389016022825545,2,10MB,text8-gensim,sgns
52,12.0,5,50,14.14579467542301,0.2682815239882247,1,10MB,text8-gensim,sgns
53,12.0,5,50,14.076570887725257,0.2668687936270461,2,10MB,text8-gensim,sgns
54,13.0,5,50,14.336867168578044,0.27218096262404173,1,10MB,text8-gensim,sgns
55,13.0,5,50,14.242994433521579,0.2702651925208485,2,10MB,text8-gensim,sgns
56,14.0,5,50,14.477630662458337,0.27505368698894567,1,10MB,text8-gensim,sgns
57,14.0,5,50,14.438823744749968,0.27426170907652997,2,10MB,text8-gensim,sgns
58,15.0,5,50,14.553507958285671,0.2766022032303198,1,10MB,text8-gensim,sgns
59,15.0,5,50,14.548384243675926,0.2764976376260393,2,10MB,text8-gensim,sgns
60,1.0,5,50,15.769339132113435,0.3014150843288456,1,50MB,text8-gensim,sgns
61,1.0,5,50,15.864948419359228,0.3033662942726373,2,50MB,text8-gensim,sgns
62,2.0,5,50,18.473274960105556,0.35659744816541955,1,50MB,text8-gensim,sgns
63,2.0,5,50,18.61810049422084,0.35955307131062936,2,50MB,text8-gensim,sgns
64,3.0,5,50,19.85625427567809,0.38482151583016505,1,50MB,text8-gensim,sgns
65,3.0,5,50,19.887999766555858,0.38546938299093586,2,50MB,text8-gensim,sgns
66,4.0,5,50,20.667632102132593,0.4013802469822978,1,50MB,text8-gensim,sgns
67,4.0,5,50,20.560510583372746,0.39919409353821933,2,50MB,text8-gensim,sgns
68,5.0,5,50,21.127030816313237,0.4107557309451681,1,50MB,text8-gensim,sgns
69,5.0,5,50,21.127991410161506,0.4107753349012553,2,50MB,text8-gensim,sgns
70,6.0,5,50,21.467392043636263,0.41770187844155643,1,50MB,text8-gensim,sgns
71,6.0,5,50,21.40079506437168,0.41634275641574864,2,50MB,text8-gensim,sgns
72,7.0,5,50,21.69955429669286,0.42243988360597673,1,50MB,text8-gensim,sgns
73,7.0,5,50,21.69505829967805,0.42234812856485815,2,50MB,text8-gensim,sgns
74,8.0,5,50,21.92440951096487,0.4270287655298953,1,50MB,text8-gensim,sgns
75,8.0,5,50,21.91052504786786,0.4267454091401604,2,50MB,text8-gensim,sgns
76,9.0,5,50,22.060455606502074,0.429805216459226,1,50MB,text8-gensim,sgns
77,9.0,5,50,22.07002465929432,0.43000050325090444,2,50MB,text8-gensim,sgns
78,10.0,5,50,22.13625112808417,0.4313520638384524,1,50MB,text8-gensim,sgns
79,10.0,5,50,22.17955190703679,0.43223575320483243,2,50MB,text8-gensim,sgns
80,11.0,5,50,22.237569282490345,0.43341978127531317,1,50MB,text8-gensim,sgns
81,11.0,5,50,22.193027036315957,0.43251075584318277,2,50MB,text8-gensim,sgns
82,12.0,5,50,22.312743710147956,0.43495395326832564,1,50MB,text8-gensim,sgns
83,12.0,5,50,22.237872436282437,0.4334259680873967,2,50MB,text8-gensim,sgns
84,13.0,5,50,22.391503786138223,0.4365613017579229,1,50MB,text8-gensim,sgns
85,13.0,5,50,22.437802592501484,0.4375061753571732,2,50MB,text8-gensim,sgns
86,14.0,5,50,22.462631768266238,0.4380128932299232,1,50MB,text8-gensim,sgns
87,14.0,5,50,22.53132107977363,0.43941471591374753,2,50MB,text8-gensim,sgns
88,15.0,5,50,22.44933757963788,0.43774158325791596,1,50MB,text8-gensim,sgns
89,15.0,5,50,22.460709324606956,0.4379736596858562,2,50MB,text8-gensim,sgns
90,1.0,5,50,18.894802658782147,0.36520005426086016,1,100MB,text8-gensim,sgns
91,1.0,5,50,18.88539569726369,0.365008075454361,2,100MB,text8-gensim,sgns
92,2.0,5,50,21.371639969216567,0.41574775447380746,1,100MB,text8-gensim,sgns
93,2.0,5,50,21.543463682742598,0.41925436087229795,2,100MB,text8-gensim,sgns
94,3.0,5,50,22.67481893952995,0.44234324366387656,1,100MB,text8-gensim,sgns
95,3.0,5,50,22.637054659058343,0.4415725440624152,2,100MB,text8-gensim,sgns
96,4.0,5,50,23.176379666026563,0.452579176857685,1,100MB,text8-gensim,sgns
97,4.0,5,50,23.23738042142468,0.4538240902331568,2,100MB,text8-gensim,sgns
98,5.0,5,50,23.614913345362183,0.4615288437829017,1,100MB,text8-gensim,sgns
99,5.0,5,50,23.691006969308958,0.4630817748838563,2,100MB,text8-gensim,sgns
100,6.0,5,50,23.916084020234017,0.4676751840864085,1,100MB,text8-gensim,sgns
101,6.0,5,50,23.8868719772539,0.4670790199439571,2,100MB,text8-gensim,sgns
102,7.0,5,50,24.10143868734818,0.4714579323948608,1,100MB,text8-gensim,sgns
103,7.0,5,50,24.10654527226721,0.4715621484136165,2,100MB,text8-gensim,sgns
104,8.0,5,50,24.108316946219567,0.4715983050248891,1,100MB,text8-gensim,sgns
105,8.0,5,50,24.23854528210175,0.47425602616534185,2,100MB,text8-gensim,sgns
106,9.0,5,50,24.349969950987415,0.4765299989997432,1,100MB,text8-gensim,sgns
107,9.0,5,50,24.373121170378955,0.4770024728648766,2,100MB,text8-gensim,sgns
108,10.0,5,50,24.45566468452332,0.47868703437802695,1,100MB,text8-gensim,sgns
109,10.0,5,50,24.36594915679226,0.4768561052406584,2,100MB,text8-gensim,sgns
110,11.0,5,50,24.513483018954144,0.47986700038681923,1,100MB,text8-gensim,sgns
111,11.0,5,50,24.42404152324921,0.47804166373977974,2,100MB,text8-gensim,sgns
112,12.0,5,50,24.63100220137939,0.48226535104855894,1,100MB,text8-gensim,sgns
113,12.0,5,50,24.45178750140313,0.4786079081919006,2,100MB,text8-gensim,sgns
114,13.0,5,50,24.613700523091588,0.4819122555732977,1,100MB,text8-gensim,sgns
115,13.0,5,50,24.471029591900546,0.4790006039163377,2,100MB,text8-gensim,sgns
116,14.0,5,50,24.59734824421382,0.48157853559620034,1,100MB,text8-gensim,sgns
117,14.0,5,50,24.63097803226403,0.48226485780130673,2,100MB,text8-gensim,sgns
118,15.0,5,50,24.66567341433287,0.48297292682311976,1,100MB,text8-gensim,sgns
119,15.0,5,50,24.665283031850944,0.48296495983369275,2,100MB,text8-gensim,sgns
