,Unnamed: 0,model,language_exposure,kdims,isoscore,checkpoint
0,0,B-GPT_en_nl_simultaneous,simultaneous,756.6961695756008,0.9852622810633648,0
1,1,B-GPT_en_nl_simultaneous,simultaneous,146.2495172866371,0.1893735557844029,10000
2,2,B-GPT_en_nl_simultaneous,simultaneous,136.93067432207394,0.1772238257132646,20000
3,3,B-GPT_en_nl_simultaneous,simultaneous,141.0996843045011,0.1826593015704055,30000
4,4,B-GPT_en_nl_simultaneous,simultaneous,144.75151689391384,0.1874204913871106,40000
5,5,B-GPT_en_nl_simultaneous,simultaneous,147.724159742671,0.1912961665484628,50000
6,6,B-GPT_en_nl_simultaneous,simultaneous,150.52843764347972,0.1949523306955407,64000
7,7,B-GPT_en_nl_simultaneous,simultaneous,150.69608061443904,0.1951709004099596,64010
8,8,B-GPT_en_nl_simultaneous,simultaneous,150.91129148357882,0.1954514882445617,64020
9,9,B-GPT_en_nl_simultaneous,simultaneous,151.10302010266847,0.1957014603685377,64030
10,10,B-GPT_en_nl_simultaneous,simultaneous,151.22422805325934,0.1958594889873003,64040
11,11,B-GPT_en_nl_simultaneous,simultaneous,151.30388638924083,0.1959633460094404,64050
12,12,B-GPT_en_nl_simultaneous,simultaneous,151.36079532692833,0.1960375427991242,64060
13,13,B-GPT_en_nl_simultaneous,simultaneous,151.4153361171307,0.1961086520431952,64070
14,14,B-GPT_en_nl_simultaneous,simultaneous,151.46530573335747,0.1961738014776499,64080
15,15,B-GPT_en_nl_simultaneous,simultaneous,151.51208839735358,0.1962347958244505,64090
16,16,B-GPT_en_nl_simultaneous,simultaneous,151.5551795098675,0.1962909771966981,64100
17,17,B-GPT_en_nl_simultaneous,simultaneous,151.59485918676896,0.1963427108041316,64110
18,18,B-GPT_en_nl_simultaneous,simultaneous,151.62832041370467,0.1963863369148692,64120
19,19,B-GPT_en_nl_simultaneous,simultaneous,151.66243480310587,0.1964308146063962,64130
20,20,B-GPT_en_nl_simultaneous,simultaneous,151.69686813265477,0.1964757081260166,64140
21,21,B-GPT_en_nl_simultaneous,simultaneous,151.7287215287063,0.1965172379774528,64150
22,22,B-GPT_en_nl_simultaneous,simultaneous,151.75981893535467,0.1965577821842955,64160
23,23,B-GPT_en_nl_simultaneous,simultaneous,151.79095659250035,0.1965983788689704,64170
24,24,B-GPT_en_nl_simultaneous,simultaneous,151.81925504908006,0.1966352738579922,64180
25,25,B-GPT_en_nl_simultaneous,simultaneous,151.84679707628516,0.1966711826287942,64190
26,26,B-GPT_en_nl_simultaneous,simultaneous,151.87581222598297,0.1967090120286609,64200
27,27,B-GPT_en_nl_simultaneous,simultaneous,152.13614114972745,0.1970484239240253,64300
28,28,B-GPT_en_nl_simultaneous,simultaneous,152.38357683598454,0.197371025861779,64400
29,29,B-GPT_en_nl_simultaneous,simultaneous,152.60957598344388,0.1976656792482971,64500
30,30,B-GPT_en_nl_simultaneous,simultaneous,152.81721519118796,0.1979363952948995,64600
31,31,B-GPT_en_nl_simultaneous,simultaneous,153.02848327677606,0.1982118426033586,64700
32,32,B-GPT_en_nl_simultaneous,simultaneous,153.22636858389578,0.1984698416999945,64800
33,33,B-GPT_en_nl_simultaneous,simultaneous,153.43683881805185,0.1987442487849437,64900
34,34,B-GPT_en_nl_simultaneous,simultaneous,153.6301821460079,0.1989963261356035,65000
35,35,B-GPT_en_nl_simultaneous,simultaneous,155.46880620625217,0.2013934891867694,66000
36,36,B-GPT_en_nl_simultaneous,simultaneous,157.14184286770902,0.2035747625393859,67000
37,37,B-GPT_en_nl_simultaneous,simultaneous,158.7177935371985,0.2056294570237268,68000
38,38,B-GPT_en_nl_simultaneous,simultaneous,160.19794640028854,0.2075592521516148,69000
39,39,B-GPT_en_nl_simultaneous,simultaneous,161.60637489088654,0.2093955344079355,70000
40,40,B-GPT_en_nl_simultaneous,simultaneous,172.55440126380958,0.2236693627950581,80000
41,41,B-GPT_en_nl_simultaneous,simultaneous,179.95488765715402,0.2333179760849465,90000
42,42,B-GPT_en_nl_simultaneous,simultaneous,185.02853026053376,0.2399328947334208,100000
43,43,B-GPT_en_nl_simultaneous,simultaneous,188.31620769156905,0.2442193059864003,110000
44,44,B-GPT_en_nl_simultaneous,simultaneous,190.06100281165803,0.2464941366514446,120000
45,45,B-GPT_en_nl_simultaneous,simultaneous,190.4733156386101,0.2470317022667667,128000
46,46,B-GPT_en_nl_sequential,sequential,756.6961695756008,0.9852622810633648,0
47,47,B-GPT_en_nl_sequential,sequential,114.36892405903944,0.1478082451877958,10000
48,48,B-GPT_en_nl_sequential,sequential,106.4574619037176,0.1374934314259681,20000
49,49,B-GPT_en_nl_sequential,sequential,108.744526734073,0.1404752630170443,30000
50,50,B-GPT_en_nl_sequential,sequential,110.38173256783143,0.1426098208185546,40000
51,51,B-GPT_en_nl_sequential,sequential,111.5225074394222,0.1440971413812545,50000
52,52,B-GPT_en_nl_sequential,sequential,112.53714642771378,0.1454200083803308,64000
53,53,B-GPT_en_nl_sequential,sequential,112.70031898252488,0.145632749651271,64010
54,54,B-GPT_en_nl_sequential,sequential,112.92749726664664,0.1459289403737244,64020
55,55,B-GPT_en_nl_sequential,sequential,113.10874472119178,0.1461652473548784,64030
56,56,B-GPT_en_nl_sequential,sequential,113.2185799002087,0.1463084483705458,64040
57,57,B-GPT_en_nl_sequential,sequential,113.3057822916132,0.1464221411885439,64050
58,58,B-GPT_en_nl_sequential,sequential,113.38437627112506,0.1465246105229792,64060
59,59,B-GPT_en_nl_sequential,sequential,113.46418159263672,0.1466286591820557,64070
60,60,B-GPT_en_nl_sequential,sequential,113.53780080775545,0.1467246425133708,64080
61,61,B-GPT_en_nl_sequential,sequential,113.59832435909875,0.1468035519675342,64090
62,62,B-GPT_en_nl_sequential,sequential,113.65260156585852,0.14687431755653,64100
63,63,B-GPT_en_nl_sequential,sequential,113.7042449231016,0.1469416491826618,64110
64,64,B-GPT_en_nl_sequential,sequential,113.74565538246944,0.1469956393513291,64120
65,65,B-GPT_en_nl_sequential,sequential,113.7806748806319,0.1470412971064301,64130
66,66,B-GPT_en_nl_sequential,sequential,113.81295744618002,0.1470833865008866,64140
67,67,B-GPT_en_nl_sequential,sequential,113.8440587941788,0.1471239358463869,64150
68,68,B-GPT_en_nl_sequential,sequential,113.87474658686357,0.147163946006341,64160
69,69,B-GPT_en_nl_sequential,sequential,113.9041411505,0.1472022700788787,64170
70,70,B-GPT_en_nl_sequential,sequential,113.93336766984788,0.1472403750584718,64180
71,71,B-GPT_en_nl_sequential,sequential,113.96227703112088,0.147278066533404,64190
72,72,B-GPT_en_nl_sequential,sequential,113.9905175652255,0.1473148860042053,64200
73,73,B-GPT_en_nl_sequential,sequential,114.23332158450464,0.1476314492627179,64300
74,74,B-GPT_en_nl_sequential,sequential,114.44879682359309,0.1479123817778267,64400
75,75,B-GPT_en_nl_sequential,sequential,114.6468933227396,0.148170656222607,64500
76,76,B-GPT_en_nl_sequential,sequential,114.833702576807,0.1484142145721082,64600
77,77,B-GPT_en_nl_sequential,sequential,115.0032495061308,0.1486352666312005,64700
78,78,B-GPT_en_nl_sequential,sequential,115.1660593089448,0.1488475349529919,64800
79,79,B-GPT_en_nl_sequential,sequential,115.32277337736308,0.1490518557723117,64900
80,80,B-GPT_en_nl_sequential,sequential,115.4698546476767,0.1492436175328249,65000
81,81,B-GPT_en_nl_sequential,sequential,116.693883077097,0.1508394824994745,66000
82,82,B-GPT_en_nl_sequential,sequential,117.59291409590388,0.1520116220285578,67000
83,83,B-GPT_en_nl_sequential,sequential,118.25829932967376,0.1528791386306046,68000
84,84,B-GPT_en_nl_sequential,sequential,118.76836038149725,0.1535441465208568,69000
85,85,B-GPT_en_nl_sequential,sequential,119.151483803381,0.1540436555454772,70000
86,86,B-GPT_en_nl_sequential,sequential,122.1311601339555,0.1579285008265391,80000
87,87,B-GPT_en_nl_sequential,sequential,124.48662662303492,0.1609995131982202,90000
88,88,B-GPT_en_nl_sequential,sequential,126.09987418291178,0.1631028346582943,100000
89,89,B-GPT_en_nl_sequential,sequential,127.05082313306912,0.164342663798004,110000
90,90,B-GPT_en_nl_sequential,sequential,127.51344879845536,0.1649458263343616,120000
91,91,B-GPT_en_nl_sequential,sequential,127.6035130018552,0.165063250328364,128000
92,92,B-GPT_en_es_simultaneous,simultaneous,756.6961695756008,0.9852622810633648,0
93,93,B-GPT_en_es_simultaneous,simultaneous,144.06291333165942,0.1865227031703512,10000
94,94,B-GPT_en_es_simultaneous,simultaneous,134.45522243523297,0.1739963786639282,20000
95,95,B-GPT_en_es_simultaneous,simultaneous,137.8033284242991,0.1783615755205985,30000
96,96,B-GPT_en_es_simultaneous,simultaneous,140.6346454418162,0.1820529927533457,40000
97,97,B-GPT_en_es_simultaneous,simultaneous,142.77602078424323,0.1848448771632897,50000
98,98,B-GPT_en_es_simultaneous,simultaneous,144.8242659005467,0.1875153401571665,64000
99,99,B-GPT_en_es_simultaneous,simultaneous,145.01942067251466,0.1877697792340477,64010
100,100,B-GPT_en_es_simultaneous,simultaneous,145.2334701275777,0.1880488528390843,64020
101,101,B-GPT_en_es_simultaneous,simultaneous,145.42181371671248,0.18829441162544,64030
102,102,B-GPT_en_es_simultaneous,simultaneous,145.55362582168416,0.188466265738832,64040
103,103,B-GPT_en_es_simultaneous,simultaneous,145.64881437873117,0.1885903707675764,64050
104,104,B-GPT_en_es_simultaneous,simultaneous,145.7233948023725,0.1886876073042666,64060
105,105,B-GPT_en_es_simultaneous,simultaneous,145.78915085403264,0.1887733387927413,64070
106,106,B-GPT_en_es_simultaneous,simultaneous,145.84855676861207,0.1888507910933664,64080
107,107,B-GPT_en_es_simultaneous,simultaneous,145.90137058478874,0.1889196487415759,64090
108,108,B-GPT_en_es_simultaneous,simultaneous,145.9521646470375,0.1889858730730606,64100
109,109,B-GPT_en_es_simultaneous,simultaneous,145.9980058808113,0.1890456400010577,64110
110,110,B-GPT_en_es_simultaneous,simultaneous,146.04273763970363,0.1891039604168235,64120
111,111,B-GPT_en_es_simultaneous,simultaneous,146.08759044125674,0.1891624386457063,64130
112,112,B-GPT_en_es_simultaneous,simultaneous,146.13110354895613,0.1892191702072439,64140
113,113,B-GPT_en_es_simultaneous,simultaneous,146.175039613839,0.1892764532123063,64150
114,114,B-GPT_en_es_simultaneous,simultaneous,146.21784752119086,0.1893322653470545,64160
115,115,B-GPT_en_es_simultaneous,simultaneous,146.25869144556137,0.1893855168781765,64170
116,116,B-GPT_en_es_simultaneous,simultaneous,146.29686986683313,0.1894352931770966,64180
117,117,B-GPT_en_es_simultaneous,simultaneous,146.3347536734396,0.1894846853630242,64190
118,118,B-GPT_en_es_simultaneous,simultaneous,146.37222252895737,0.189533536543621,64200
119,119,B-GPT_en_es_simultaneous,simultaneous,146.70728196878414,0.189970380663343,64300
120,120,B-GPT_en_es_simultaneous,simultaneous,146.9916555174441,0.1903411414829779,64400
121,121,B-GPT_en_es_simultaneous,simultaneous,147.24953299938778,0.1906773572351861,64500
122,122,B-GPT_en_es_simultaneous,simultaneous,147.4820134528797,0.1909804608251365,64600
123,123,B-GPT_en_es_simultaneous,simultaneous,147.70124505153342,0.1912662908103434,64700
124,124,B-GPT_en_es_simultaneous,simultaneous,147.9016594894272,0.19152758733954,64800
125,125,B-GPT_en_es_simultaneous,simultaneous,148.10028096168838,0.1917865462342743,64900
126,126,B-GPT_en_es_simultaneous,simultaneous,148.28264791826112,0.1920243128008619,65000
127,127,B-GPT_en_es_simultaneous,simultaneous,149.98670143079642,0.1942460253335025,66000
128,128,B-GPT_en_es_simultaneous,simultaneous,151.48210259587657,0.1961957009072706,67000
129,129,B-GPT_en_es_simultaneous,simultaneous,152.8549132637137,0.1979855453242682,68000
130,130,B-GPT_en_es_simultaneous,simultaneous,154.11595024674648,0.1996296613386525,69000
131,131,B-GPT_en_es_simultaneous,simultaneous,155.29180490437716,0.2011627182586403,70000
132,132,B-GPT_en_es_simultaneous,simultaneous,164.26052338985855,0.2128559626986421,80000
133,133,B-GPT_en_es_simultaneous,simultaneous,170.15585271939133,0.2205421808597018,90000
134,134,B-GPT_en_es_simultaneous,simultaneous,174.138244998288,0.2257343481072855,100000
135,135,B-GPT_en_es_simultaneous,simultaneous,176.64239447864125,0.2289992105327787,110000
136,136,B-GPT_en_es_simultaneous,simultaneous,177.93307166204977,0.2306819708762057,120000
137,137,B-GPT_en_es_simultaneous,simultaneous,178.2373265256867,0.2310786525758627,128000
138,138,B-GPT_en_es_sequential,sequential,756.6961695756008,0.9852622810633648,0
139,139,B-GPT_en_es_sequential,sequential,113.77225961985846,0.1470303254496199,10000
140,140,B-GPT_en_es_sequential,sequential,106.04624272411591,0.1369572916872437,20000
141,141,B-GPT_en_es_sequential,sequential,108.316220933794,0.139916846067528,30000
142,142,B-GPT_en_es_sequential,sequential,110.09847733613503,0.1422405180392894,40000
143,143,B-GPT_en_es_sequential,sequential,111.30183158824384,0.1438094284070975,50000
144,144,B-GPT_en_es_sequential,sequential,112.28045959248988,0.1450853449706517,64000
145,145,B-GPT_en_es_sequential,sequential,112.42880010510748,0.1452787485073109,64010
146,146,B-GPT_en_es_sequential,sequential,112.65935754028818,0.1455793449025921,64020
147,147,B-GPT_en_es_sequential,sequential,112.89116659398728,0.1458815731342728,64030
148,148,B-GPT_en_es_sequential,sequential,113.06135562682644,0.1461034623557059,64040
149,149,B-GPT_en_es_sequential,sequential,113.187010593552,0.146267288909455,64050
150,150,B-GPT_en_es_sequential,sequential,113.29404150923756,0.1464068337799707,64060
151,151,B-GPT_en_es_sequential,sequential,113.39706196737848,0.1465411498922796,64070
152,152,B-GPT_en_es_sequential,sequential,113.49249356648136,0.1466655717946302,64080
153,153,B-GPT_en_es_sequential,sequential,113.57836690245988,0.1467775318154627,64090
154,154,B-GPT_en_es_sequential,sequential,113.65718572138064,0.1468802942912394,64100
155,155,B-GPT_en_es_sequential,sequential,113.73082026586242,0.1469762976086863,64110
156,156,B-GPT_en_es_sequential,sequential,113.79825443355134,0.1470642169928961,64120
157,157,B-GPT_en_es_sequential,sequential,113.86058984849387,0.147145488720331,64130
158,158,B-GPT_en_es_sequential,sequential,113.92061796754832,0.1472237522393068,64140
159,159,B-GPT_en_es_sequential,sequential,113.975088728371,0.1472947701804055,64150
160,160,B-GPT_en_es_sequential,sequential,114.02848619165006,0.1473643887765972,64160
161,161,B-GPT_en_es_sequential,sequential,114.08000453765338,0.1474315574154542,64170
162,162,B-GPT_en_es_sequential,sequential,114.13174407661636,0.1474990144414815,64180
163,163,B-GPT_en_es_sequential,sequential,114.17909716595064,0.1475607524979799,64190
164,164,B-GPT_en_es_sequential,sequential,114.22572531526784,0.1476215453914835,64200
165,165,B-GPT_en_es_sequential,sequential,114.62058205449024,0.1481363520919038,64300
166,166,B-GPT_en_es_sequential,sequential,114.93632745885272,0.148548014939834,64400
167,167,B-GPT_en_es_sequential,sequential,115.20943351212448,0.1489040854134608,64500
168,168,B-GPT_en_es_sequential,sequential,115.45396650052204,0.1492229028689987,64600
169,169,B-GPT_en_es_sequential,sequential,115.67401178104738,0.1495097937171413,64700
170,170,B-GPT_en_es_sequential,sequential,115.88281397494649,0.149782026042955,64800
171,171,B-GPT_en_es_sequential,sequential,116.07792651627574,0.1500364100603334,64900
172,172,B-GPT_en_es_sequential,sequential,116.26114790006034,0.1502752906128557,65000
173,173,B-GPT_en_es_sequential,sequential,117.70152425670636,0.1521532258887958,66000
174,174,B-GPT_en_es_sequential,sequential,118.7467538680436,0.1535159763599003,67000
175,175,B-GPT_en_es_sequential,sequential,119.54458189267444,0.1545561693515964,68000
176,176,B-GPT_en_es_sequential,sequential,120.15745987217046,0.1553552279950071,69000
177,177,B-GPT_en_es_sequential,sequential,120.6286923621932,0.155969611945493,70000
178,178,B-GPT_en_es_sequential,sequential,122.946272443294,0.1589912287396271,80000
179,179,B-GPT_en_es_sequential,sequential,124.40668625095178,0.1608952884627793,90000
180,180,B-GPT_en_es_sequential,sequential,125.32912298697538,0.1620979439204372,100000
181,181,B-GPT_en_es_sequential,sequential,125.8293238876373,0.162750096333295,110000
182,182,B-GPT_en_es_sequential,sequential,126.04372616448444,0.1630296299406577,120000
183,183,B-GPT_en_es_sequential,sequential,126.08231046178918,0.1630799354130237,128000
184,184,B-GPT_en_el_simultaneous,simultaneous,756.6961695756008,0.9852622810633648,0
185,185,B-GPT_en_el_simultaneous,simultaneous,100.11733816627138,0.1292272987826224,10000
186,186,B-GPT_en_el_simultaneous,simultaneous,91.95113190618038,0.1185803545061022,20000
187,187,B-GPT_en_el_simultaneous,simultaneous,93.53492242358604,0.1206452704349231,30000
188,188,B-GPT_en_el_simultaneous,simultaneous,95.09369104382873,0.1226775632905198,40000
189,189,B-GPT_en_el_simultaneous,simultaneous,96.3721601595799,0.1243444069877182,50000
190,190,B-GPT_en_el_simultaneous,simultaneous,97.64152710903647,0.1259993834537633,64000
191,191,B-GPT_en_el_simultaneous,simultaneous,98.07990344210435,0.1265709301722351,64010
192,192,B-GPT_en_el_simultaneous,simultaneous,98.80191829336684,0.1275122793916125,64020
193,193,B-GPT_en_el_simultaneous,simultaneous,99.27804674553634,0.1281330466043498,64030
194,194,B-GPT_en_el_simultaneous,simultaneous,99.60373471575134,0.1285576723803798,64040
195,195,B-GPT_en_el_simultaneous,simultaneous,99.86576955983892,0.128899308422215,64050
196,196,B-GPT_en_el_simultaneous,simultaneous,100.09032069635384,0.1291920739196269,64060
197,197,B-GPT_en_el_simultaneous,simultaneous,100.3093528602728,0.1294776438856229,64070
198,198,B-GPT_en_el_simultaneous,simultaneous,100.51709367629368,0.1297484924071625,64080
199,199,B-GPT_en_el_simultaneous,simultaneous,100.70881275010623,0.129998452086188,64090
200,200,B-GPT_en_el_simultaneous,simultaneous,100.8868778760049,0.130230610007829,64100
201,201,B-GPT_en_el_simultaneous,simultaneous,101.06064017692938,0.1304571579881739,64110
202,202,B-GPT_en_el_simultaneous,simultaneous,101.22298478535076,0.1306688197983712,64120
203,203,B-GPT_en_el_simultaneous,simultaneous,101.37255865975276,0.1308638313686476,64130
204,204,B-GPT_en_el_simultaneous,simultaneous,101.51241320216458,0.1310461710588847,64140
205,205,B-GPT_en_el_simultaneous,simultaneous,101.64150119710972,0.1312144735294781,64150
206,206,B-GPT_en_el_simultaneous,simultaneous,101.7609380354504,0.1313701930058023,64160
207,207,B-GPT_en_el_simultaneous,simultaneous,101.87493437748816,0.1315188192666077,64170
208,208,B-GPT_en_el_simultaneous,simultaneous,101.98748410101074,0.1316655594537297,64180
209,209,B-GPT_en_el_simultaneous,simultaneous,102.09728993878184,0.1318087222148394,64190
210,210,B-GPT_en_el_simultaneous,simultaneous,102.2003765501388,0.1319431245764522,64200
211,211,B-GPT_en_el_simultaneous,simultaneous,103.02805844728108,0.133022240478854,64300
212,212,B-GPT_en_el_simultaneous,simultaneous,103.65190043568634,0.1338355937883785,64400
213,213,B-GPT_en_el_simultaneous,simultaneous,104.1297198242018,0.1344585656117364,64500
214,214,B-GPT_en_el_simultaneous,simultaneous,104.53120868330824,0.1349820191438177,64600
215,215,B-GPT_en_el_simultaneous,simultaneous,104.86216111033828,0.1354135086184332,64700
216,216,B-GPT_en_el_simultaneous,simultaneous,105.1602069922764,0.1358020951659405,64800
217,217,B-GPT_en_el_simultaneous,simultaneous,105.41896557731208,0.1361394596835881,64900
218,218,B-GPT_en_el_simultaneous,simultaneous,105.65419038083404,0.1364461413048683,65000
219,219,B-GPT_en_el_simultaneous,simultaneous,107.26917636431058,0.1385517292885405,66000
220,220,B-GPT_en_el_simultaneous,simultaneous,108.3294586342752,0.1399341051294331,67000
221,221,B-GPT_en_el_simultaneous,simultaneous,109.15147772268512,0.1410058379696025,68000
222,222,B-GPT_en_el_simultaneous,simultaneous,109.84009271613516,0.1419036410901371,69000
223,223,B-GPT_en_el_simultaneous,simultaneous,110.44131893687664,0.1426875083922772,70000
224,224,B-GPT_en_el_simultaneous,simultaneous,114.43527105669664,0.1478947471404128,80000
225,225,B-GPT_en_el_simultaneous,simultaneous,116.8903049112056,0.151095573547856,90000
226,226,B-GPT_en_el_simultaneous,simultaneous,118.48882099247643,0.1531796883865403,100000
227,227,B-GPT_en_el_simultaneous,simultaneous,119.45352667893286,0.1544374532971745,110000
228,228,B-GPT_en_el_simultaneous,simultaneous,119.93865869122284,0.1550699591802123,120000
229,229,B-GPT_en_el_simultaneous,simultaneous,120.05274664912578,0.1552187048880388,128000
